parameter,value,lower,upper,distance_to_lower,distance_to_upper,status
ktx__,0.020187550944395036,0.004333333333333333,0.039,0.7003057728459824,0.29969422715401756,not within 5% of bound
kmat__,0.011797852130676186,0.00139,0.01251,0.9733250606223995,0.02667493937760046,near upper bound
kx__,8.296736256183257e-07,3.333333333333333e-07,3e-06,0.41501875611797423,0.5849812438820258,not within 5% of bound
krev__,8.076443967164449e-07,9e-08,8.100000000000001e-07,0.9986745146022316,0.0013254853977684282,near upper bound
krep__,3.3431869826218065e-06,3.3333333333333337e-06,3.0000000000000004e-05,0.0013433920958093022,0.9986566079041908,near lower bound
