parameter,value,lower,upper,distance_to_lower,distance_to_upper,status
k_txn,0.025257740883753883,0.000962763757,1.0,0.47037429221050425,0.5296257077894958,not within 5% of bound
ksd,2.618800826557054e-07,1e-09,0.0001,0.4836204938647704,0.5163795061352296,not within 5% of bound
kfsd,2.3454495172389484e-07,2.29972555e-07,0.01,0.0018433553827846578,0.9981566446172153,near lower bound
krev,4.1431450277540585e-05,1.42705205e-07,0.01,0.508277727919501,0.491722272080499,not within 5% of bound
kf_rep,2.710151711525918e-05,1e-08,4.77116458e-05,0.9332275415443116,0.06677245845568833,not within 5% of bound
kRz,0.004125168311928119,0.00406799972,0.406799972,0.00303037931843142,0.9969696206815687,near lower bound
klkg,1.6250615591710748e-08,1e-09,0.000698976431,0.20718240737915083,0.7928175926208492,not within 5% of bound
basal_frac,0.01429992863285118,1e-10,1.0,0.8155333870021966,0.18446661299780337,not within 5% of bound
