parameter,value,lower,upper,distance_to_lower,distance_to_upper,status
ktx__,0.017995029073668237,0.004333333333333333,0.039,0.6479804126872288,0.3520195873127712,not within 5% of bound
kmat__,0.006787494512438797,0.00139,0.01251,0.7217187291611107,0.2782812708388893,not within 5% of bound
kx__,1.1478545958609099e-06,3.333333333333333e-07,3e-06,0.5627585512378168,0.43724144876218324,not within 5% of bound
krev__,8.097431523233578e-07,9e-08,8.100000000000001e-07,0.9998556605520007,0.00014433944799927375,near upper bound
krep__,3.3362112643089092e-06,3.3333333333333337e-06,3.0000000000000004e-05,0.00039277131890039035,0.9996072286810996,near lower bound
